Strategy,Scenario,Agent_ID,Initial_Health_Factor,Target_Health_Factor,Final_Health_Factor,Survived,Rebalancing_Events,Cost_of_Rebalancing,Total_Slippage_Costs,Yield_Tokens_Sold,Final_Net_Position,Liquidation_Events,Cost_of_Liquidation,Liquidation_Penalties,Collateral_Lost
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run4_agent7,1.4841598565930187,1.01,1.171667750405726,True,0.0,0.0,0.0,0.0,100000.0,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run4_agent8,1.2096544169568804,1.01,1.4268807245588095,True,1.0,10.936546286962352,184.8684982745841,10936.546286962352,99989.06345371304,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run4_agent9,1.2206831010799621,1.01,1.4833145706941497,True,1.0,11.47976976673778,200.26837715604114,11479.76976673778,99988.52023023326,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run4_agent10,1.29602524779475,1.01,1.023145168498584,True,0.0,0.0,0.0,0.0,100000.0,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run4_agent11,1.447527605416905,1.01,1.1427484752096282,True,0.0,0.05765605829219567,0.0,0.0,99999.94234394172,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run4_agent12,1.4529448763226023,1.01,1.1470251315194055,True,0.0,0.0,0.0,0.0,100000.0,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run4_agent13,1.2406173539504393,1.01,1.5635189260107123,True,1.0,12.04530162394086,216.9258330817232,12045.30162394086,99987.95469837605,,,,
High_Tide,Aggressive_1.01,hf_test_ht_1.01_run4_agent14,1.4758620060130698,1.01,1.165117024835955,True,0.0,0.029856008994102012,0.0,0.0,99999.970143991,,,,
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run0_agent0,1.2639426798457885,1.01,1.1594006227094937,True,,,,,98191.66420858848,1.0,1808.3357914115234,1582.3502377845307,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run0_agent1,1.2025010755222667,1.01,1.1016912653208306,True,,,,,98105.5081864727,1.0,1894.4918135272992,1663.2001756267587,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run0_agent2,1.227502931836912,1.01,1.1270938277699991,True,,,,,98141.90371180998,1.0,1858.0962881900123,1629.324010662097,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run0_agent3,1.2223210738148822,1.01,1.122427011967474,True,,,,,98134.57538703961,1.0,1865.4246129603841,1636.2313003063675,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run0_agent4,1.2736471214164014,1.01,1.169080190461881,True,,,,,98204.5959921404,1.0,1795.404007859605,1570.2936601276451,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run0_agent5,1.267669948742291,1.01,1.1638062245476963,True,,,,,98196.7572064391,1.0,1803.242793560907,1577.6977295898546,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run0_agent6,1.2892179567704847,1.01,1.0212161111899642,True,,,,,100000.0,0.0,0.0,0.0,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run0_agent7,1.2086938832629415,1.01,1.108337532657205,True,,,,,98114.71891591747,1.0,1885.2810840825186,1654.6786805943623,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run0_agent8,1.242192181968527,1.01,1.1408891079971364,True,,,,,98162.43162297383,1.0,1837.5683770261712,1610.0568245652294,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run0_agent9,1.202979721943807,1.01,1.1024495567093011,True,,,,,98106.26197451305,1.0,1893.738025486948,1662.5384148357434,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run0_agent10,1.2218637974803603,1.01,1.1217025759516286,True,,,,,98133.87726133109,1.0,1866.1227386689172,1636.8436515790518,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run0_agent11,1.2505355288103361,1.01,1.1464369646492816,True,,,,,98173.5300974962,1.0,1826.469902503803,1599.3148166711003,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run0_agent12,1.2026535969683863,1.01,1.1019328960819614,True,,,,,98105.74844736893,1.0,1894.2515526310756,1662.9892473123944,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run0_agent13,1.219883765068665,1.01,1.1185657269977605,True,,,,,98130.84829774246,1.0,1869.1517022575495,1639.500464937677,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run0_agent14,1.2649884437779524,1.01,1.1610573650321065,True,,,,,98193.15915690773,1.0,1806.8408430922768,1581.0421113626132,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run1_agent0,1.203855183933738,1.01,1.0605580133199934,True,,,,,98107.56750190294,1.0,1892.4324980970493,1661.3293913515126,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run1_agent1,1.2696224322637053,1.01,1.119504361428792,True,,,,,98199.20340526465,1.0,1800.7965947353487,1575.271473767244,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run1_agent2,1.214393322139536,1.01,1.0723212319649873,True,,,,,98123.29449912507,1.0,1876.7055008749298,1646.9128770210716,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run1_agent3,1.2462532254829088,1.01,1.0966360746450179,True,,,,,98167.44602611221,1.0,1832.5539738877794,1604.8102898389877,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run1_agent4,1.2671646764117768,1.01,1.1157618001423726,True,,,,,98195.71063242208,1.0,1804.2893675779192,1578.326824626606,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run1_agent5,1.2792951271655295,1.01,1.127007414230067,True,,,,,98211.70633222746,1.0,1788.2936677725443,1563.360914561834,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run1_agent6,1.2453189228466213,1.01,1.0952133601497496,True,,,,,98166.07114938184,1.0,1833.9288506181601,1606.0143014837402,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run1_agent7,1.249827222979805,1.01,1.1020783990561878,True,,,,,98172.68638509559,1.0,1827.3136149044094,1600.2211851584198,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run1_agent8,1.2019157108024348,1.01,1.0576046699065007,True,,,,,98104.5137752981,1.0,1895.4862247019062,1664.0101980734908,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run1_agent9,1.243238883895144,1.01,1.0920459693578877,True,,,,,98163.0028384619,1.0,1836.9971615380907,1608.7012929758735,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run1_agent10,1.2372374680820926,1.01,1.090517757877325,True,,,,,98155.30404643399,1.0,1844.6959535660094,1616.5045527600341,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run1_agent11,1.2852288633190854,1.01,1.1338253178010769,True,,,,,98219.6227011183,1.0,1780.3772988817104,1556.1430785448038,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run1_agent12,1.2546983904291005,1.01,1.105388572720324,True,,,,,98179.13569749457,1.0,1820.8643025054328,1594.0085802740293,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run1_agent13,1.2755316838254966,1.01,1.1248734859826304,True,,,,,98206.98554254857,1.0,1793.014457451428,1567.9735951377722,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run1_agent14,1.2434068138852234,1.01,1.0923016856769867,True,,,,,98163.25093659977,1.0,1836.7490634002388,1608.48402764553,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run2_agent0,1.2408535879254494,1.01,1.107634356738083,True,,,,,98160.36982078009,1.0,1839.6301792199056,1611.7937035131981,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run2_agent1,1.2541972009104596,1.01,1.1204815232638343,True,,,,,98178.7435446411,1.0,1821.2564553589064,1594.6455617570664,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run2_agent2,1.2862036616479273,1.01,1.1492776289113253,True,,,,,98220.95592948214,1.0,1779.0440705178632,1554.9636963694638,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run2_agent3,1.2176665644195444,1.01,1.0872409673699994,True,,,,,98127.79278174498,1.0,1872.2072182550148,1642.4857661698138,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run2_agent4,1.2225159520578146,1.01,1.0906506594419747,True,,,,,98134.57205066067,1.0,1865.42794933932,1635.9704727234653,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run2_agent5,1.202909725326811,1.01,1.0713457338637498,True,,,,,98105.93411480602,1.0,1894.0658851939843,1662.6351569787437,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run2_agent6,1.2116650533442863,1.01,1.081699389496021,True,,,,,98119.1154631532,1.0,1880.884536846801,1650.6211799043392,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run2_agent7,1.2008805625887067,1.01,1.0727773325088978,True,,,,,98103.47256138966,1.0,1896.5274386103447,1665.444559855855,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run2_agent8,1.2156690335083364,1.01,1.0841615078331255,True,,,,,98124.71645777227,1.0,1875.2835422277328,1645.18462251863,0.0
AAVE,Aggressive_1.01,aave_Aggressive_1.01_run2_agent9,1.2513713208502675,1.01,1.1161250533576144,True,,,,,98174.63073478527,1.0,1825.3692652147288,1598.246632854797,0.0
