date,symbol,avg_variableRate,avg_supplyRate
2025-03-08 00:00:00.000 UTC,USDC,0.059911356353395534,0.03302245682103054
2025-02-14 00:00:00.000 UTC,USDC,0.06829188269393344,0.04064984194388621
2025-02-23 00:00:00.000 UTC,USDC,0.06984915193578574,0.042523540342619244
2025-06-16 00:00:00.000 UTC,USDC,0.05540622702147214,0.04463270117766253
2025-05-11 00:00:00.000 UTC,USDC,0.0467306420218469,0.032876296243413365
2025-09-21 00:00:00.000 UTC,USDC,0.06263108999473327,0.04997031342212037
2025-03-27 00:00:00.000 UTC,USDC,0.04781416535872528,0.02912732834660677
2025-02-22 00:00:00.000 UTC,USDC,0.06925275782004534,0.041801216666676265
2024-06-28 00:00:00.000 UTC,USDC,0.08447798621902448,0.06565619088388554
2024-04-17 00:00:00.000 UTC,USDC,0.10532094426451259,0.0765472266915558
